ano_abertura,mes_abertura,municipio,natureza_juridica,regiao,opcao_mei,uf,porte,tipo_situacao,quantidade_empresas
"2025","Outubro","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Março","Criciúma - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Agosto","Florianópolis - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Maio","Florianópolis - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Outubro","Florianópolis - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Março","Itajaí - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Maio","Jaraguá do Sul - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Junho","Joinville - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Maio","Joinville - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","2"
"2025","Maio","Porto Belo - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Setembro","São José - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Outra","1"
"2025","Maio","Abelardo Luz - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Águas de Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Julho","Anitápolis - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Abril","Araquari - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Março","Araquari - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Março","Araranguá - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Agosto","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","4"
"2025","Janeiro","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Julho","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Junho","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Maio","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Março","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","4"
"2025","Setembro","Balneário Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","3"
"2025","Julho","Barra Velha - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Biguaçu - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Janeiro","Biguaçu - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Julho","Biguaçu - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Junho","Biguaçu - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Março","Blumenau - SC","Empresário Individual","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Abril","Blumenau - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Blumenau - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Janeiro","Blumenau - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Junho","Blumenau - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Março","Blumenau - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Outubro","Blumenau - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Brusque - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Maio","Brusque - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Caçador - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Janeiro","Caçador - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Janeiro","Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Julho","Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Outubro","Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Setembro","Camboriú - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Janeiro","Capinzal - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Catanduvas - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Abril","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","2"
"2025","Fevereiro","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Janeiro","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","4"
"2025","Julho","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Junho","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Maio","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","4"
"2025","Março","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Outubro","Chapecó - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","3"
"2025","Fevereiro","Cocal do Sul - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Abril","Criciúma - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Criciúma - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Dionísio Cerqueira - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Junho","Dionísio Cerqueira - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Maio","Dionísio Cerqueira - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Faxinal dos Guedes - SC","Sociedade Limitada","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Abril","Florianópolis - SC","Empresário Individual","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
"2025","Fevereiro","Florianópolis - SC","Empresário Individual","Sul","Não-MEI","SC","Empresa de pequeno porte","Baixada","1"
